S,67,T,prob,Connected,64,59,58,54,50,44,35,30,26,24,23,22,20,17,15,13,12,8,2,63,65,61,62,45,46,40,42,31,38,19,32,9,27,6,21,4,14,1,7
1,,0,0.039599999999999996,False,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,
0,,0,0.10289999999999999,False,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,
1,,0,0.10289999999999999,False,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,
0,,0,0.084,False,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
1,,0,0.084,False,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
0,,0,0.0231,False,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,
1,,0,0.0231,False,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,
0,,1,0.2107,True,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1,,1,0.2107,True,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
0,,1,0.17200000000000001,False,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
1,,1,0.17200000000000001,True,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
0,,1,0.0473,True,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,
1,,1,0.0473,False,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,
0,,1,0.1764,True,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
1,,1,0.1764,True,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
0,,1,0.144,False,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
1,,1,0.144,True,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
0,,1,0.039599999999999996,False,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,
1,,1,0.039599999999999996,False,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,
0,,1,0.10289999999999999,True,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,
