S,53,T,prob,Connected,42,36,35,30,29,25,20,19,18,10,7,4,55,57,52,56,51,54,44,47,34,38,23,39,17,33,15,32,9,28,6,26,1,16,41,43,45
1,,0,0.29150000000000004,False,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
0,,1,0.2115,False,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,
1,,1,0.2115,False,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,
0,,1,0.2585,True,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,
1,,1,0.2585,True,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,
0,,1,0.23850000000000002,False,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,
1,,1,0.23850000000000002,False,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,
0,,1,0.29150000000000004,False,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
1,,1,0.29150000000000004,False,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
0,,0,0.3245,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,
1,,0,0.3245,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,
0,,0,0.1705,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,
